route_long_name,route_short_name,agency_id,route_desc,route_type,route_id,route_url,route_color,route_text_color
CHORZÓW GWARECKA - KLIMZOWIEC RACŁAWICKA,998,1,Chorzów Gwarecka - Chorzów Estakada - Klimzowiec Racławicka,3,998,https://rj.metropoliaztm.pl/rozklady/3-998,000000,FFFFFF
CHORZÓW RYNEK - BYKOWINA GRZEGORZKA,139,1,Chorzów Rynek - Chorzów Estakada - Chorzów Dąbrowskiego - Chorzów Batory Osiedle - Kochłowice Szyb Radoszowy - Kochłowice Kościół - Kochłowice Rynek - Bykowina Grzegorzka,3,139,https://rj.metropoliaztm.pl/rozklady/3-139,000000,
CHORZÓW STADION ŚLĄSKI PĘTLA ZACH. - ZAWODZIE ZAJEZDNIA,T23,1,Chorzów Stadion Śląski Pętla Zach. - Park Śląski Ogród Zoologiczny - Dąb Kościół - Katowice Sobieskiego - Katowice Dworzec PKP - Katowice Rynek /Teatr Śl./ - Zawodzie Uniwersytet Ekonomiczny - Zawodzie Centrum Przesiadkowe - Zawodzie Zajezdnia,0,1061,https://rj.metropoliaztm.pl/rozklady/0-T23,000000,FFFFFF
CHORZÓW STARY DWORZEC PKP - MACIEJKOWICE DWÓR,Z-22,1,Chorzów Stary Dworzec PKP - Maciejkowice Dwór,3,1083,https://rj.metropoliaztm.pl/rozklady/3-Z-22,408080,00FFFF
CHORZÓW STARY SZYB PREZYDENT - BRZEZINY ŚLĄSKIE SKRZYŻOWANIE,922,1,Chorzów Stary Szyb Prezydent - Brzeziny Śląskie Harcerska - Brzeziny Śląskie Skrzyżowanie,3,922,https://rj.metropoliaztm.pl/rozklady/3-922,408080,00FFFF
CZELADŹ DWORZEC - TWORZEŃ HUTA KATOWICE,T22,1,Czeladź Dworzec - Piaski Centrum Handlowe - Będzin Czeladzka - Będzin Zamek - Dąbrowa Górnicza Urząd Pracy - Dąbrowa Górnicza Centrum - Dąbrowa Górnicza Aleja Róż - Gołonóg Manhattan - Gołonóg Wiadukt S1 - Tworzeń Huta Katowice,0,1060,https://rj.metropoliaztm.pl/rozklady/0-T22,000000,80FFFF
CZELADŹ WOJKOWICKA PĘTLA - KATOWICE DWORZEC,911,1,Czeladź Wojkowicka Pętla - Czeladź Stare Miasto - Czeladź Muzeum - Milowice Most - Dąbrówka Mała Ośrodek Zdrowia - Bogucice Kościół - Katowice Chorzowska - Katowice Sokolska - Katowice Dworzec,3,911,https://rj.metropoliaztm.pl/rozklady/3-911,000000,00FFFF
CZELADŹ WOJKOWICKA PĘTLA - KOSZTOWY PĘTLA,35,1,Czeladź Wojkowicka Pętla - Czeladź Stare Miasto - Czeladź Osiedle Słoneczne - Piaski Skrzyżowanie - Piaski Osiedle Dziekana - Pogoń Grota-Roweckiego - Sosnowiec Dworzec PKP - Sielec Wawel Kościół - Sosnowiec Rondo Ludwik - Niwka Fabryka - Niwka Kościół - Mysłowice Kościół - Mysłowice Dworzec PKP - Brzęczkowice Kościół - Brzęczkowice Szkoła - Brzęczkowice Ogródki Działkowe - Brzezinka Centrum - Kosztowy Rynek - Kosztowy Pętla - Kosztowy Pętla,3,35,https://rj.metropoliaztm.pl/rozklady/3-35,000000,FF80FF
CZELADŹ WOJKOWICKA PĘTLA - PIOTROWICE PĘTLA,11,1,Czeladź Wojkowicka Pętla - Czeladź Stare Miasto - Milowice Most - Dąbrówka Mała Ośrodek Zdrowia - Bogucice Kościół - Katowice Chorzowska - Katowice Sokolska - Katowice Sądowa - Katowice Dworzec - Katowice Kopernika Dworzec - Katowice AWF - Brynów Kościuszki - Brynów Centrum Przesiadkowe - Piotrowice Pętla,3,11,https://rj.metropoliaztm.pl/rozklady/3-11,000000,00FFFF
CZUŁÓW NARCYZÓW - TYCHY BARWNA CMENTARZ,565,1,"Czułów Narcyzów - Wartogłowiec Kościół - Wartogłowiec Pętla - Tychy Kościuszki - Tychy Rynek - Tychy Hotelowiec - Tychy Urząd Miasta - Tychy Lodowisko - Tychy Osiedle ""Z1"" - Tychy Sikorskiego Wiadukt - Tychy Strefowa Centralna - Tychy Fiat Auto-Hit - Tychy Barwna Cmentarz",3,565,https://rj.metropoliaztm.pl/rozklady/3-565,FF0000,400080
DOŁKI KAPLICA - OSIEDLE WIECZORKA DWORZEC,264,1,Dołki Kaplica - Dołki Szybowa - Dąbrówka Wielka Megaset - Dąbrówka Wielka Skrzyżowanie - Dąbrówka Wielka - Brzeziny Śląskie - Osiedle Powstańców - Kamień - Szarlej Wyszyńskiego - Szarlej Poczta - Piekary Bazylika - Osiedle Wieczorka Dworzec,3,264,https://rj.metropoliaztm.pl/rozklady/3-264,0080FF,FF80FF
DĄB SILESIA CITY CENTER - PSZCZELNIK PARK,662,1,Dąb Silesia City Center - Wełnowiec Plac Alfreda - Osiedle Tuwima Grabowa - Siemianowice Plac Skargi - Siemianowice Szpital - Pszczelnik Park,3,662,https://rj.metropoliaztm.pl/rozklady/3-662,804000,00FFFF
