stop_name,stop_code,stop_id,stop_lat,stop_lon,stop_url
Tarnowskie Góry Dworzec,2413041-00107,7454,50.447506,18.863262,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-00107/
Tarnowskie Góry Gliwicka,2413041-07501,754,50.441673,18.850967,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07501/
Tarnowskie Góry Gliwicka,2413041-07502,753,50.44138,18.850773,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07502/
Tarnowskie Góry Gruzełki,2413041-08901,8631,50.445396,18.844625,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-08901/
Tarnowskie Góry Hala Sportowa,2413041-07701,5878,50.437954,18.839348,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07701/
Tarnowskie Góry Hala Sportowa,2413041-07702,5875,50.43816,18.839905,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07702/
Tarnowskie Góry Kaufland,2413041-04101,5726,50.455418,18.837036,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-04101/
Tarnowskie Góry Klonowa,2413041-01201,1314,50.45553,18.85447,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-01201/
Tarnowskie Góry Klonowa,2413041-01202,1313,50.45553,18.85447,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-01202/
Tarnowskie Góry Kolonia Staszica,2413041-05801,1380,50.43255,18.842533,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-05801/
Tarnowskie Góry Kolonia Staszica,2413041-05802,1381,50.432426,18.84261,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-05802/
Tarnowskie Góry Kolonia Staszica,2413041-05803,7159,50.43142,18.844175,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-05803/
Tarnowskie Góry Kolonia Staszica,2413041-05804,1382,50.431877,18.843542,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-05804/
Tarnowskie Góry Kopalnia Zabytkowa,2413041-05901,3725,50.425182,18.850397,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-05901/
Tarnowskie Góry Kopalnia Zabytkowa,2413041-05902,3724,50.42507,18.850334,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-05902/
Tarnowskie Góry Korczaka,2413041-08601,8668,50.452385,18.853771,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-08601/
Tarnowskie Góry Kościuszki,2413041-01001,3628,50.449318,18.860054,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-01001/
Tarnowskie Góry Krótka,2413041-07201,1504,50.442406,18.83894,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07201/
Tarnowskie Góry Krótka,2413041-07202,1503,50.44229,18.840538,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07202/
Tarnowskie Góry Księdza Siwca,2413041-00301,1838,50.4424,18.879034,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-00301/
Tarnowskie Góry Księdza Siwca,2413041-00302,1839,50.44243,18.877016,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-00302/
Tarnowskie Góry Mickiewicza,2413041-01101,8667,50.450954,18.857508,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-01101/
