stop_id,stop_code_add,community_ids,stop_vehicle_type_ids,stop_attribute_ids,stop_long_name,city,street,voice_message_code
4255,"1",42,3,2,"","Brudzowice","Gajowa",0
5348,"2",41,3,1,"","Siemianowice Śląskie","Wyzwolenia",0
7146,"21",83,3,1,"","Bojszowy","Bojszowska",0
5848,"1",,,6,"","<Żadna>","",0
382,"2t",38,2,2,"","Ruda Śląska","Katowicka",0
5679,"2",21,3,2_3,"","Lędziny","Goławiecka",0
2451,"1",14,3,1,"","Gliwice","Toszecka",0
5616,"4",30,3,2_3,"","Ożarowice","Podłączna",0
7154,"2",60,3,2_3,"","Tarnowskie Góry","Zagórska",0
3495,"2",14,3,2_3,"","Gliwice","Portowa",0
4283,"1t",53,2,2,"","Świętochłowice","Chorzowska",0
5931,"1",57,3,2,"","Toszek","Pniowska",0
4860,"1",24,3,2_3,"","Mikołów","Księdza Franciszka Górka",0
4236,"1",42,3,2,"","Dziewki","Niwy",0
6332,"2",46,3_3,2_3,"","Tychy","Generała Sikorskiego",0
6376,"2",46,3,2,"","Tychy","Cmentarna",0
6414,"1",46,3,2_3,"","Tychy","Jaroszowicka",0
2459,"1",34,3,1,"","Psary","Graniczna",0
6837,"16",83,3,1,"","Bojszowy","Żubrów",0
6577,"1",54,3,2_3,"","Łaziska Górne","Brada",0
1513,"2",18,3,2_3,"","Knurów","Niepodległości",0
5328,"1",17,3,1,"","Katowice","Morawa",0
3245,"2",17,3,2_3,"","Katowice","Mikusińskiego",0
3978,"1",17,3,2_3_4,"","Katowice","Witosa",0
898,"2",,,6,"","<Żadna>","",0
1566,"1",60,3,1,"","Tarnowskie Góry","Obwodnica",0
4708,"1t",49,2,2_3,"","Zabrze","Wolności",0
2466,"4",34,3,2,"","Psary","Wiejska",0
4711,"1t",49,2,2,"","Zabrze","Wolności",0
3720,"1",51,3,2,"","Zbrosławice","Reptowska",0
8649,"2",49,3,2,"","Zabrze","Badestinusa",0
5301,"1",41,3,2_3,"","Siemianowice Śląskie","Lipowa",0
6718,"1",,,6,"","<Żadna>","",0
2238,"2",10,3,2_3,"","Czeladź","Nowopogońska",0
994,"1",,,6,"","<Żadna>","",0
2833,"1",12,3,2_8,"","Dąbrowa Górnicza","Orkana",0
4482,"1t",17,2,2_3,"","Katowice","1 Maja",0
3039,"2",5,3,1,"","Bytom","Ostatnia",0
8845,"2",53,3,2,"","Świętochłowice","Wojska Polskiego",0
2666,"1",49,3,2,"","Zabrze","Wolności",0
1419,"2",7,3,2_3,"","Chełm Śląski","Chełmska",0
4007,"1",23,3,2,"","Mierzęcice","Czerwonego Zagłębia",0
5355,"2",43,3,1,"","Sosnowiec","Piotrkowska",0
1512,"1",18,3,2_3,"","Knurów","Niepodległości",0
531,"1",17,3,2,"","Katowice","Milowicka",0
5695,"2",30,3,1_3,"","Ożarowice","Główna",0
7519,"2",,,6,"","<Żadna>","",0
5064,"1",12,3,2_3,"","Dąbrowa Górnicza","Siewierska",0
4890,"1",26,3,2_3,"","Mysłowice","Towarowa",0
1758,"1",24,3,2_3,"","Mikołów","Gliwicka",0
532,"2",17,3,2_3,"","Katowice","Milowicka",0
1700,"1",5,3,2,"","Bytom","Stolarzowicka",0
4751,"1",14,3,2_3,"","Gliwice","Franciszkańska",0
8602,"2",60,3,2,"","Tarnowskie Góry","Czarnohucka",0
3910,"1",8,3,2_3,"","Chorzów","Dąbskiego",0
795,"1",21,3,2_3,"","Lędziny","Lędzińska",0
7390,"2",,,6,"","<Żadna>","",0
1526,"2",14,3,2_3,"","Gliwice","Łużycka",0
6675,"2",29,3,2,"","Orzesze","Żorska",0
9834,"31",51,3,2_7,"","<Żadna>","",0
635,"1",26,3,2_3,"","Mysłowice","3 Maja",0
3699,"1",17,3,2_3,"","Katowice","Warszawska",0
3544,"1",43,3,2_3_4,"","Sosnowiec","3 Maja",0
4556,"1t",17,2,2_3,"","Katowice","Tadeusza Kościuszki",0
5522,"3",13,3,1_3,"","Przyszowice","Powstańców Śląskich",0
3275,"1",17,3,1,"","Katowice","Bagienna",0
3870,"2",30,3,2,"","Ożarowice","Tarnogórska",0
4143,"1",36,3,2,"","Pyskowice","Wiejska",0
8604,"1",60,,2,"","<Żadna>","",0
594,"2",43,3,2,"","Sosnowiec","Traugutta",0
6410,"2",46,3,2,"","Tychy","Jaroszowicka",0
52,"1",32,3,1,"","Żernica","Gliwicka",0
3435,"1t",5,2,2_3,"","Bytom","Strzelców Bytomskich",0
4346,"2t",43,2,2_3,"","Sosnowiec","1 Maja",0
1639,"1",49,3,2_3,"","Zabrze","Makoszowska",0
7859,"3",24,3,2_3_4,"","Mikołów","Plac Synagogi",0
2236,"2t",53,2,2_3,"","Świętochłowice","Chorzowska",0
2438,"1",13,3,1_3,"","Przyszowice","Gliwicka",0
9842,"2",55,3,2_3,"","Łazy","Dąbrowska",0
4971,"1",26,3,2,"","Mysłowice","Janowska",0
5377,"2",43,3,2,"","Sosnowiec","Klimontowska",0
4884,"1",6,3,1,"","Będzin","Zawale",0
3662,"2t",6,2,2_3,"","Będzin","Małobądzka",0
3765,"2",22,3,2_3,"","Miasteczko Śląskie","Łokietka",0
1806,"2",17,3,2_3,"","Katowice","Bielska",0
7034,"1",39,3,1,"","Rudno","Gliwicka",0
9715,"04",17,3,2,"","Katowice","Skłodowskiej-Curie",0
6605,"1",29,3,2_3,"","Orzesze","Wojska Polskiego",0
1598,"1",14,3,2_3,"","Gliwice","Dolna",0
3595,"1",21,3,2,"","Lędziny","Pokoju",0
765,"3",38,3,2_3_4,"","Ruda Śląska","Plac Niepodległości",0
6478,"1",,,6,"","<Żadna>","",0
